"","PM_Block","M","SD"
"V.cor2_Ongoing","Control",1.39377160053542,0.0169526161652708
"V.cor3_Ongoing","PM",1.54148248167691,0.0164581711334659
"V.err2_Ongoing","Control",0.41821670242819,0.0234023199091001
"V.err3_Ongoing","PM",0.767726028152461,0.0180665713394341
"V.cc2_Conflict","Control",1.2604488936498,0.0182397260688019
"V.cc3_Conflict","PM",1.41646795423331,0.0175811538382159
"V.pc3_Conflict_RC","PM",0.86743522761221,0.0415243831697642
"V.nn2_Conflict","Control",0.231377083485866,0.0368293538809846
"V.nn3_Conflict","PM",0.60638395274836,0.0286673299364262
"V.pn3_Conflict_RC","PM",-0.168190211848209,0.06903948247021
"V.nn2_Nonconflict","Control",1.52709430742103,0.0207780223876144
"V.nn3_Nonconflict","PM",1.66649700912052,0.0199090250933165
"V.pn3_Nonconflict_RC","PM",1.19175749736752,0.0382659227808623
"V.cc2_Nonconflict","Control",0.605056321370513,0.0257708003505802
"V.cc3_Nonconflict","PM",0.929068103556562,0.0194256394218601
"V.pc3_Nonconflict_RC","PM",0.198411318415154,0.0610998058444862
"V.pp3_PM","PM",2.08935443504554,0.0362526006056644
