Exp,s,block,cond,mental,physical,temporal,performance,effort,frustration,mean_v.C,mean_v.N,mean_v.Cerr,mean_v.Nerr,mean_v.P,diff.C,diff.N,sum.C,sum.N,sum
E1,1,Control,A,13,2,9,7,7,6,1.267177,1.6186397,0.78292415,-1.07061316,,0.48425285,2.68925286,2.05010115,0.54802654,2.59812769
E1,1,Control,B,13,2,16,6,12,4,1.2449707,1.3670656,0.50896552,-0.99717005,,0.73600518,2.36423565,1.75393622,0.36989555,2.12383177
E1,1,Control,C,8,2,6,10,7,3,1.3163317,2.0531055,1.53883285,-1.23145265,,-0.22250115,3.28455815,2.85516455,0.82165285,3.6768174
E1,1,Control,D,4,2,12,14,13,8,1.3587862,1.5464533,1.040050952,0.4597821,,0.318735248,1.0866712,2.398837152,2.0062354,4.405072552
E1,1,PM,A,16,2,17,10,14,8,1.0904764,1.58400802,0.77998277,-1.99723238,2.5887871,0.31049363,3.5812404,1.87045917,-0.41322436,4.04602191
E1,1,PM,B,15,3,16,9,13,10,1.4225903,1.8019189,1.0711204,0.32351068,2.63785,0.3514699,1.47840822,2.4937107,2.12542958,7.25699028
E1,1,PM,C,14,14,8,12,12,9,1.4400474,1.70603,1.16290467,-0.10595755,3.48583934,0.27714273,1.81198755,2.60295207,1.60007245,7.68886386
E1,1,PM,D,17,3,20,16,16,13,1.8484907,2.1430133,1.369337,1.3052205,1.94341116,0.4791537,0.8377928,3.2178277,3.4482338,8.60947266
E1,2,Control,A,18,1,18,14,17,13,0.7631865,0.912907,0.40771595,-0.7578803,,0.35547055,1.6707873,1.17090245,0.1550267,1.32592915
E1,2,Control,B,14,2,21,16,19,17,0.8505271,1.5319688,0.73613954,-0.15222965,,0.11438756,1.68419845,1.58666664,1.37973915,2.96640579
E1,2,Control,C,14,1,7,9,10,10,0.8260847,1.4954542,0.61446709,-1.9385346,,0.21161761,3.4339888,1.44055179,-0.4430804,0.99747139
E1,2,Control,D,21,4,21,19,21,19,1.9278011,1.762722,1.276567485,1.4452608,,0.651233615,0.3174612,3.204368585,3.2079828,6.412351385
E1,2,PM,A,21,1,19,16,19,15,1.0028777,1.55353637,1.01239245,-0.73897724,2.3255179,-0.00951475,2.29251361,2.01527015,0.81455913,5.15534718
E1,2,PM,B,21,3,21,17,21,17,1.1540387,1.7778352,1.0785879,-1.36135845,2.8225345,0.0754508,3.13919365,2.2326266,0.41647675,5.47163785
E1,2,PM,C,14,1,8,9,6,7,0.9539162,1.666116,0.93669116,-0.94760217,3.21820948,0.01722504,2.61371817,1.89060736,0.71851383,5.82733067
E1,2,PM,D,21,5,21,20,21,21,1.0913014,1.4568755,1.2008407,0.929124,1.24420368,-0.1095393,0.5277515,2.2921421,2.3859995,5.92234528
E1,3,Control,A,12,5,12,14,12,9,1.5231471,1.2709174,0.03837811,-1.5430252,,1.48476899,2.8139426,1.56152521,-0.2721078,1.28941741
E1,3,Control,B,9,8,9,11,9,8,1.6502461,1.4795168,0.23220483,0.077142,,1.41804127,1.4023748,1.88245093,1.5566588,3.43910973
E1,3,Control,C,13,9,12,11,12,9,2.062634,1.3904123,-0.66437137,0.0398779,,2.72700537,1.3505344,1.39826263,1.4302902,2.82855283
E1,3,Control,D,12,8,14,11,11,10,1.968736,1.5987329,0.615894807,0.9871213,,1.352841193,0.6116116,2.584630807,2.5858542,5.170485007
E1,3,PM,A,11,8,9,15,12,10,1.9492219,1.81307694,-0.02123558,-0.4025604,2.945041,1.97045748,2.21563734,1.92798632,1.41051654,6.28354386
E1,3,PM,B,14,9,12,12,11,11,2.0235178,1.4203336,0.2667297,0.98048905,1.6595611,1.7567881,0.43984455,2.2902475,2.40082265,6.35063125
E1,3,PM,C,14,9,13,11,13,10,1.6731512,1.492272,0.1092794,0.78293214,2.52129931,1.5638718,0.70933986,1.7824306,2.27520414,6.57893405
E1,3,PM,D,16,9,16,9,13,10,2.0216094,1.7132042,0.8853327,1.176362,0.4654363,1.1362767,0.5368422,2.9069421,2.8895662,6.2619446
E1,4,Control,A,15,1,1,11,15,4,1.1847185,1.650058,0.511416,0.75634213,,0.6733025,0.89371587,1.6961345,2.40640013,4.10253463
E1,4,Control,B,18,5,12,12,19,12,1.618648,1.8143029,1.33795266,1.23837498,,0.28069534,0.57592792,2.95660066,3.05267788,6.00927854
E1,4,Control,C,14,5,11,10,18,9,1.1188241,0.921689,0.27878873,0.74540209,,0.84003537,0.17628691,1.39761283,1.66709109,3.06470392
E1,4,Control,D,11,1,9,7,16,5,1.4415088,1.6268362,1.268210528,0.8297565,,0.173298272,0.7970797,2.709719328,2.4565927,5.166312028
E1,4,PM,A,19,9,7,9,18,5,1.639451,1.6210092,0.94610105,1.06199732,2.4757052,0.69334995,0.55901188,2.58555205,2.68300652,7.74426377
E1,4,PM,B,20,4,7,10,21,13,1.4659734,1.5159986,0.9498515,1.17605111,1.3927032,0.5161219,0.33994749,2.4158249,2.69204971,6.50057781
E1,4,PM,C,17,7,13,11,17,7,1.37377,1.36807,1.12937575,0.85180151,1.83371133,0.24439425,0.51626849,2.50314575,2.21987151,6.55672859
E1,4,PM,D,21,15,21,1,21,11,0.7451692,1.1115153,0.765233,0.3607725,0.38660747,-0.0200638,0.7507428,1.5104022,1.4722878,3.36929747
E1,5,Control,A,8,3,11,15,12,5,1.3019206,1.4904829,0.34392979,-0.4018536,,0.95799081,1.8923365,1.64585039,1.0886293,2.73447969
E1,5,Control,B,13,8,14,15,12,14,1.414021,1.3648812,0.75209028,0.43674428,,0.66193072,0.92813692,2.16611128,1.80162548,3.96773676
E1,5,Control,C,16,10,15,16,14,15,1.3808438,1.2985879,0.73063809,0.54323177,,0.65020571,0.75535613,2.11148189,1.84181967,3.95330156
E1,5,Control,D,13,9,14,9,14,13,1.732375,1.7504817,1.35184812,1.3739704,,0.38052688,0.3765113,3.08422312,3.1244521,6.20867522
E1,5,PM,A,10,7,11,7,12,11,1.2132696,1.54902358,0.99159219,0.11878205,1.7345834,0.22167741,1.43024153,2.20486179,1.66780563,5.60725082
E1,5,PM,B,15,14,17,12,9,14,1.6381363,1.6497011,0.8905568,1.07612854,2.2095662,0.7475795,0.57357256,2.5286931,2.72582964,7.46408894
E1,5,PM,C,13,9,5,13,14,17,1.5698001,1.574254,0.85936197,1.1295426,2.46269245,0.71043813,0.4447114,2.42916207,2.7037966,7.59565112
E1,5,PM,D,15,13,18,14,13,16,1.7494801,1.6516432,1.4215999,1.4484436,1.527718,0.3278802,0.2031996,3.17108,3.1000868,7.7988848
